#threshold,real,real,real
2,21.45,24.12,24.71
3,21.0,18.79,19.53
4,19.59,17.76,18.94
5,17.71,19.06,19.26
6,18.36,17.6,16.34
7,19.37,17.98,18.45
8,16.98,16.47,16.99
9,16.86,14.81,15.43
10,15.93,13.76,15.67
11,15.17,14.88,13.86
12,15.64,15.04,15.75
13,15.09,16.66,16.86
14,16.36,16.37,16.15
15,16.23,16.29,15.8
16,16.47,16.3,14.75
17,16.64,13.72,16.85
18,16.49,14.67,15.64
19,14.37,14.76,14.26
20,15.16,15.15,15.59
21,13.77,15.39,14.8
22,14.61,15.36,14.52
23,14.43,15.86,16.04
24,15.43,15.43,15.42
25,14.23,14.45,15.67
26,15.09,15.56,13.79
27,15.31,15.38,14.36
28,14.76,15.34,15.39
29,14.56,15.06,14.6
30,14.4,14.53,13.7
31,15.45,14.8,16.57
32,14.08,14.2,14.03
33,14.97,15.04,14.82
34,14.33,13.43,14.68
35,16.0,15.16,14.38
36,12.53,14.46,14.69
37,14.7,15.29,15.43
38,14.38,15.63,13.89
39,12.06,14.75,15.13
40,15.13,13.7,14.45
41,15.26,14.01,14.58
42,14.74,13.9,13.44
43,14.51,15.46,15.44
44,14.31,14.35,14.33
45,14.93,14.45,13.86
46,14.68,13.66,14.69
47,14.69,14.86,14.12
48,15.05,14.86,14.48
49,14.15,15.04,13.85
50,14.55,14.97,14.34
51,14.31,14.34,14.24
52,15.37,14.9,14.19
53,15.3,15.18,14.89
54,14.42,17.35,15.4
55,13.93,16.34,16.0
56,14.11,14.33,13.2
57,14.06,14.28,14.84
58,15.02,14.33,14.19
59,14.66,14.16,14.08
60,13.92,14.43,14.9
61,15.04,14.77,15.36
62,14.41,15.36,14.44
63,12.7,14.53,13.13
64,14.35,14.34,15.42
65,15.33,15.28,14.83
66,14.91,15.77,15.34
67,14.66,14.6,14.88
68,14.76,15.03,15.34
69,16.18,14.24,14.54
70,13.76,15.01,16.1
71,14.76,14.08,17.1
72,13.62,14.6,14.81
73,14.07,14.03,13.78
74,13.85,14.86,14.77
75,16.69,13.97,15.25
76,14.35,16.42,14.21
77,13.92,14.77,12.94
78,14.94,14.23,14.45
79,14.96,14.95,14.2
80,14.12,12.61,14.06
81,14.25,12.7,15.4
82,13.95,14.82,13.27
83,14.45,14.71,14.65
84,13.53,14.05,15.15
85,14.61,13.79,13.05
86,13.93,14.45,14.15
87,14.36,13.58,15.13
88,13.89,14.26,15.38
89,14.83,14.47,12.66
90,14.77,14.67,14.08
91,13.85,14.62,14.07
92,13.52,13.9,13.67
93,14.49,14.78,14.57
94,14.45,14.19,14.79
95,13.8,14.67,14.63
96,13.52,14.28,15.14
97,15.16,14.11,14.19
98,14.52,14.75,14.93
99,14.41,14.3,14.2
